[2024-04-11 12:23:54.392] [info] Using configuration file /home/dom/.config/waybar/config
[2024-04-11 12:23:55.100] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.UnknownMethod: No such interface “org.freedesktop.portal.Settings” on object at path /org/freedesktop/portal/desktop
[2024-04-11 12:23:55.101] [info] Using CSS file /home/dom/.config/waybar/style.css
[2024-04-11 12:23:55.200] [warning] module hyperland/workspaces: Unknown module: hyperland/workspaces
[2024-04-11 12:23:55.200] [warning] module hyperland/mode: Unknown module: hyperland/mode
[2024-04-11 12:23:55.201] [warning] module hyperland/scratchpad: Unknown module: hyperland/scratchpad
[2024-04-11 12:23:55.201] [warning] module hyperland/window: Unknown module: hyperland/window
[2024-04-11 12:23:55.654] [warning] module temperature: Disabling module "temperature", Can't open /sys/class/thermal/thermal_zone0/temp
[2024-04-11 12:23:55.657] [warning] module backlight: Disabling module "backlight", No backlight found
[2024-04-11 12:23:55.658] [warning] Can't open /dev/input/event5 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.658] [warning] Can't open /dev/input/mouse1 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.658] [warning] Can't open /dev/input/event4 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.659] [warning] Can't open /dev/input/event3 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.659] [warning] Can't open /dev/input/event2 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.659] [warning] Can't open /dev/input/event1 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.659] [warning] Can't open /dev/input/event0 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.660] [warning] Can't create libevdev device: EINVAL Invalid argument
[2024-04-11 12:23:55.660] [warning] Can't open /dev/input/mouse0 (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.660] [warning] Can't open /dev/input/mice (are you in the input group?): EACCES Permission denied
[2024-04-11 12:23:55.661] [warning] module keyboard-state: Disabling module "keyboard-state", Failed to find keyboard device: EACCES Permission denied
[2024-04-11 12:23:55.661] [warning] module hyperland/language: Unknown module: hyperland/language
[2024-04-11 12:23:55.663] [warning] No battery named BAT2
[2024-04-11 12:23:58.182] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:23:58.305] [info] Bar configured (width: 1920, height: 23) for output: Virtual-1
[2024-04-11 12:24:00.188] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:02.212] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:04.241] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:06.255] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:08.270] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:10.284] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:12.307] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:14.314] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:16.328] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:18.347] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:20.352] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:22.382] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:24.415] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:26.422] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:28.429] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:30.436] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:32.444] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:34.458] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:36.467] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:38.473] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:40.484] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:42.495] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:44.507] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:46.513] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:48.525] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:50.550] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:52.612] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:54.627] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:56.631] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:24:58.742] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:00.791] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:02.877] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:04.882] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:06.894] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:08.923] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:10.931] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:12.946] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:14.958] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:17.040] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:19.083] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:21.150] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:23.169] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:25.214] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:27.239] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:29.247] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:31.284] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:33.319] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:35.331] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:37.336] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:39.343] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:41.363] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:43.394] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:45.457] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:47.522] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:49.528] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:51.545] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:53.564] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:55.577] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:57.599] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:25:59.629] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:01.688] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:03.711] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:05.738] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:07.765] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:09.775] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:11.833] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:13.883] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:15.932] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:17.938] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:19.964] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:21.978] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:24.023] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:26.038] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:28.046] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:30.243] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:32.252] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:34.264] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:36.276] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:38.369] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:40.379] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:42.385] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:44.406] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:46.415] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:48.447] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:50.450] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:52.489] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:54.527] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:56.552] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:26:58.585] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:00.601] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:02.609] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:04.616] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:06.631] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:08.638] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:10.666] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:12.681] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:14.693] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:16.716] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:18.791] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:20.857] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:22.872] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:24.881] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:27.074] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:29.077] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:31.103] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:33.114] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:35.124] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:37.202] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:39.246] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:41.303] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:43.339] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:45.352] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:47.518] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:49.532] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:51.546] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:53.551] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:27:55.581] [error] mpd: Failed to connect to MPD: Connection refused
